Year,Pensions,Health Care,Education,Defence,Welfare,Protection,Transport,General Government,Other Spending,Interest
1970,24880000000,26130000000,35050000000,35220000000,34780000000,7520000000,24530000000,8780000000,31470000000,26640000000
1971,24850000000,27430000000,36710000000,36990000000,34700000000,8140000000,25690000000,9740000000,33910000000,26070000000
1972,27650000000,28740000000,38520000000,37530000000,38530000000,8650000000,21030000000,10790000000,26940000000,24670000000
1973,29880000000,29970000000,41300000000,40730000000,40270000000,9460000000,22240000000,10310000000,25480000000,27160000000
1974,32430000000,33700000000,41720000000,40560000000,43330000000,10470000000,27500000000,11900000000,26880000000,30820000000
1975,32950000000,35710000000,47060000000,39560000000,44620000000,10980000000,25970000000,12710000000,38190000000,28540000000
1976,34870000000,36500000000,45490000000,42680000000,48230000000,11640000000,20600000000,11940000000,26230000000,31640000000
1977,35590000000,35620000000,42690000000,42170000000,49630000000,10980000000,17310000000,10460000000,12460000000,32810000000
1978,36370000000,36380000000,41600000000,43970000000,50990000000,11330000000,17470000000,10220000000,18910000000,33230000000
1979,36920000000,36670000000,40880000000,45600000000,50340000000,11730000000,18230000000,9790000000,21500000000,36100000000
1980,36600000000,39520000000,41660000000,45230000000,50800000000,12580000000,16310000000,9650000000,21740000000,38100000000
1981,38240000000,40030000000,41390000000,43480000000,53440000000,13450000000,17070000000,8680000000,17690000000,39430000000
1982,39230000000,39750000000,40970000000,46240000000,53980000000,14030000000,17450000000,9260000000,17630000000,39430000000
1983,40420000000,37970000000,39280000000,42430000000,59810000000,13620000000,13880000000,10210000000,27240000000,36400000000
1984,39960000000,38360000000,39350000000,43340000000,61090000000,14200000000,13450000000,8470000000,24160000000,35870000000
1985,40450000000,39020000000,38790000000,45170000000,62230000000,15140000000,13480000000,9220000000,25070000000,37840000000
1986,42730000000,39620000000,38490000000,45510000000,65360000000,14940000000,13130000000,8600000000,25580000000,40300000000
1987,43060000000,40160000000,40160000000,43810000000,65460000000,15460000000,12240000000,9450000000,22770000000,37800000000
1988,42090000000,41580000000,41380000000,42390000000,64070000000,16430000000,11560000000,10750000000,19070000000,36510000000
1989,41730000000,42540000000,41410000000,40460000000,63320000000,16940000000,11100000000,9410000000,19950000000,34820000000
1990,41780000000,42690000000,42860000000,40600000000,63880000000,17770000000,11850000000,12020000000,17770000000,32760000000
1991,44050000000,44950000000,43320000000,39880000000,70270000000,18800000000,13570000000,11440000000,19940000000,30400000000
1992,44550000000,49480000000,46470000000,41240000000,75220000000,20620000000,14750000000,7770000000,20460000000,26650000000
1993,53350000000,54090000000,50550000000,40660000000,83400000000,21990000000,11670000000,8110000000,9230000000,32890000000
1994,63000000000,56440000000,52490000000,39700000000,90350000000,22610000000,8160000000,7600000000,12310000000,31680000000
1995,61600000000,60260000000,53660000000,38100000000,89530000000,22910000000,10810000000,8070000000,7420000000,40180000000
1996,64930000000,56720000000,52180000000,35290000000,91030000000,22540000000,6790000000,7220000000,10060000000,43060000000
1997,70210000000,58700000000,52950000000,35640000000,91470000000,20740000000,6680000000,6970000000,12070000000,44810000000
1998,73170000000,60610000000,54930000000,34250000000,87220000000,23760000000,11670000000,8080000000,10420000000,41670000000
1999,86170000000,65540000000,56530000000,37280000000,76500000000,25000000000,11780000000,12610000000,9870000000,40840000000
2000,89730000000,67660000000,58270000000,37910000000,80640000000,25010000000,11940000000,13440000000,10970000000,34570000000
2001,99330000000,73570000000,62880000000,40440000000,78160000000,27400000000,12470000000,11710000000,11430000000,35720000000
2002,103730000000,79400000000,67730000000,37550000000,78450000000,30330000000,14990000000,15210000000,21640000000,29680000000
2003,103390000000,85650000000,70830000000,38840000000,84790000000,31360000000,19160000000,14900000000,20820000000,27400000000
2004,103270000000,94590000000,77060000000,40920000000,93380000000,33040000000,20540000000,15230000000,21260000000,28430000000
2005,106320000000,102110000000,80180000000,41140000000,96020000000,35080000000,19720000000,17480000000,21810000000,29950000000
2006,107500000000,107160000000,83380000000,42140000000,97570000000,35060000000,20360000000,19450000000,22150000000,31400000000
2007,109580000000,110460000000,85190000000,42710000000,97370000000,35290000000,23160000000,19630000000,20530000000,32780000000
2008,112090000000,116080000000,89210000000,43470000000,102480000000,35670000000,23250000000,19130000000,19080000000,34770000000
2009,121690000000,121930000000,93060000000,45950000000,111590000000,37960000000,23510000000,17930000000,31540000000,35100000000
2010,128460000000,129040000000,97660000000,46960000000,122190000000,37640000000,25350000000,17570000000,28550000000,33840000000
2011,131960000000,129710000000,99050000000,48650000000,121480000000,35920000000,23260000000,16120000000,19970000000,51100000000
2012,138380000000,129420000000,92300000000,47120000000,125990000000,34010000000,20710000000,14840000000,18630000000,53650000000
2013,145520000000,129930000000,87800000000,43840000000,122290000000,32750000000,21190000000,13840000000,17290000000,51740000000
2014,146390000000,132620000000,86800000000,45110000000,116710000000,30390000000,21310000000,13640000000,20620000000,50580000000
2015,152080000000,136050000000,86330000000,45930000000,116070000000,30970000000,22290000000,13610000000,19340000000,46770000000
2016,155550000000,139240000000,85370000000,45050000000,114160000000,30050000000,28010000000,13670000000,19230000000,46150000000
2017,152930000000,139710000000,83190000000,44960000000,110320000000,29580000000,28180000000,14160000000,20010000000,48510000000
2018,153760000000,142050000000,82970000000,45570000000,108670000000,30310000000,29300000000,13880000000,22050000000,53860000000
2019,155240000000,144150000000,83000000000,46840000000,107340000000,30780000000,30770000000,14180000000,26470000000,46780000000
2020,149150000000,152040000000,85590000000,47520000000,110300000000,31920000000,32080000000,15880000000,28470000000,44880000000
2021,152510000000,161700000000,85770000000,48450000000,140890000000,34110000000,37730000000,17460000000,81540000000,41210000000
